hero_1,hero_2,games,winrate
71,74,4000,0.47
74,90,660,0.49242424242424243
12,27,1395,0.5340501792114696
12,54,205,0.5853658536585366
12,65,265,0.5471698113207547
12,83,220,0.4318181818181818
27,65,440,0.4090909090909091
27,83,300,0.4166666666666667
54,65,605,0.5371900826446281
54,83,465,0.5483870967741935
65,83,55,0.6363636363636364
26,58,415,0.6144578313253012
26,72,855,0.49707602339181284
26,119,710,0.49295774647887325
58,72,110,0.3181818181818182
58,113,120,0.5
58,119,105,0.5238095238095238
72,113,115,0.4782608695652174
72,119,205,0.5365853658536586
113,119,200,0.65
1,105,1630,0.4785276073619632
1,145,185,0.4864864864864865
47,88,580,0.5948275862068966
47,105,830,0.4939759036144578
88,105,565,0.5752212389380531
88,145,290,0.46551724137931033
105,145,380,0.5
40,44,1635,0.45565749235474007
40,85,1280,0.4765625
44,69,1075,0.4418604651162791
44,85,810,0.4876543209876543
69,85,1030,0.4563106796116505
69,104,770,0.487012987012987
85,104,1185,0.6118143459915611
12,20,580,0.5172413793103449
12,82,255,0.5490196078431373
12,97,710,0.5704225352112676
12,101,980,0.5459183673469388
20,97,705,0.5035460992907801
20,101,635,0.5590551181102362
82,101,435,0.5632183908045977
97,101,915,0.48633879781420764
2,10,750,0.49333333333333335
2,74,3035,0.4958813838550247
2,86,3255,0.5192012288786483
10,74,1050,0.44285714285714284
10,86,1115,0.42152466367713004
10,105,740,0.4864864864864865
74,86,3395,0.4565537555228277
74,105,2025,0.4740740740740741
7,54,2025,0.5456790123456791
7,99,880,0.5511363636363636
7,113,420,0.6428571428571429
14,54,5285,0.4910122989593188
14,99,1955,0.4961636828644501
14,113,1100,0.5590909090909091
54,99,1390,0.539568345323741
54,113,670,0.5522388059701493
99,113,305,0.5081967213114754
26,48,2010,0.4975124378109453
36,40,2905,0.5111876075731497
36,48,1070,0.4766355140186916
40,48,1680,0.45535714285714285
48,104,1345,0.5687732342007435
9,41,650,0.5538461538461539
9,64,620,0.5161290322580645
9,81,275,0.45454545454545453
14,64,2620,0.46946564885496184
14,81,995,0.4371859296482412
